generation,rank,fitness,f1,latency,params,depth,genotype
3,8,0.15211234769200332,0.5411730971683688,0.10273235940933227,69459460,4,"[1, 0, 1, 1]"
3,9,0.14933211649504316,0.5484843774586602,0.11295490312576294,69459460,4,"[1, 1, 0, 1]"
3,10,0.145141284973827,0.5311934360134687,0.10491878271102906,69459460,4,"[0, 0, 1, 0]"
3,11,0.141586448177014,0.5248961014185052,0.10513218593597412,69459460,4,"[1, 1, 0, 1]"
3,12,0.14076723448150014,0.552270346849768,0.12939349603652955,69459460,5,"[0, 0, 0, 1, 0]"
3,13,0.12896533629944495,0.49871155943580614,0.10310552740097045,69459460,4,"[0, 0, 1, 1]"
3,14,0.12331482563249785,0.5249933431929138,0.13640543794631957,69459460,5,"[0, 0, 1, 0, 1]"
3,15,0.11684610805221474,0.4845680830542351,0.11239357852935791,69459460,4,"[0, 0, 1, 1]"
3,16,0.11142089018818467,0.47517258463614653,0.1142859468460083,69459460,4,"[1, 0, 0, 1]"
3,17,0.10437851863071754,0.4536656668512112,0.1081134352684021,69459460,4,"[0, 0, 0, 1]"
3,18,0.09749815416158004,0.45258103567128494,0.12242566537857055,69459460,5,"[1, 0, 0, 0, 1]"
3,19,0.09678841695501411,0.45212730981239674,0.12362206745147705,69459460,5,"[0, 0, 0, 0, 1]"
4,0,0.18939825621968623,0.6152790117141477,0.1124934115409851,69459460,4,"[0, 1, 0, 1]"
4,1,0.175049687959653,0.5832112024353121,0.10603657579421998,69459460,4,"[1, 1, 1, 1]"
4,2,0.16743152813324275,0.5682819337240531,0.10435376262664794,69459460,4,"[1, 0, 1, 1]"
4,3,0.16581524671822354,0.5665214957829848,0.1051519980430603,69459460,4,"[1, 0, 1, 1]"
4,4,0.16027586569893124,0.5546032873109796,0.10320010566711425,69459460,4,"[0, 0, 1, 0]"
4,5,0.1594517024271726,0.5566169174724926,0.10603303623199463,69459460,4,"[0, 0, 1, 1]"
4,6,0.1583861868866493,0.5590167293712948,0.10952952146530151,69459460,4,"[1, 0, 1, 1]"
4,7,0.15784275081787114,0.545716811549505,0.09931548023223877,69459460,4,"[0, 1, 0, 1]"
4,8,0.15638815804255018,0.552742678422209,0.10727334928512573,69459460,4,"[1, 0, 1, 1]"
4,9,0.1517882436477755,0.5636771168502878,0.12303990459442139,69459460,5,"[0, 0, 0, 0, 1]"
4,10,0.14506472465205283,0.5504969456672595,0.12257992506027221,69459460,5,"[0, 0, 1, 1, 0]"
4,11,0.1319180553074639,0.5027504075605227,0.10283401823043824,69459460,4,"[1, 1, 0, 1]"
4,12,0.12571353853521763,0.5044887378412619,0.11541352415084839,69459460,4,"[1, 1, 0, 1]"
4,13,0.12262967304768048,0.4873528636127481,0.10530090427398682,69459460,4,"[1, 1, 0, 1]"
4,14,0.11075160387254337,0.466034729733934,0.10813813161849975,69459460,4,"[0, 1, 0, 1]"
4,15,0.1050126198561775,0.4446691234214552,0.09885397243499756,69459460,4,"[0, 1, 1, 1]"
4,16,0.10452162552874714,0.4540732841354508,0.1094839997291565,69459460,4,"[0, 1, 1, 1]"
4,17,0.10126520084382859,0.5157555555555556,0.17489554262161255,69459460,7,"[1, 1, 0, 0, 1, 1, 1]"
4,18,0.09717112915015604,0.42875600572731615,0.09993243598937988,69459460,4,"[1, 0, 1, 0]"
4,19,0.06366398678788487,0.40463884090069047,0.17006453371047975,69459460,6,"[0, 1, 1, 0, 0, 0]"
5,0,0.1989489377342985,0.6237606020933244,0.11184011554718018,69459460,4,"[1, 0, 1, 1]"
5,1,0.179471575447915,0.581662618974683,0.1031156759262085,69459460,4,"[0, 1, 1, 1]"
5,2,0.17512824941866853,0.5816805234564901,0.10895081901550294,69459460,4,"[0, 1, 1, 1]"
5,3,0.1569676948577106,0.5642032974694714,0.12046557998657227,69459460,5,"[0, 1, 0, 1, 1]"
5,4,0.155398540210686,0.5459489244475705,0.10722441148757934,69459460,4,"[1, 0, 1, 1]"
5,5,0.154271950865923,0.5438681842111819,0.10713865375518798,69459460,4,"[1, 1, 1, 1]"
5,6,0.1516214980739723,0.5330063082617783,0.10166992807388306,69459460,4,"[1, 1, 1, 1]"
5,7,0.14274840581826187,0.5345862449920779,0.11740382099151611,69459460,4,"[1, 0, 0, 0]"
5,8,0.13715704576573848,0.5152064471504167,0.10935106372833252,69459460,4,"[1, 1, 1, 1]"
5,9,0.13670144369726028,0.5381515199895784,0.13084624671936035,69459460,5,"[0, 0, 1, 1, 1]"
5,10,0.1361926135168338,0.504515742193134,0.10106376266479491,69459460,4,"[1, 1, 1, 0]"
5,11,0.13326052786106624,0.5103232078671545,0.11167317914962768,69459460,4,"[0, 1, 0, 1]"
5,12,0.12788958999806968,0.5162489128239501,0.12693310165405272,69459460,5,"[1, 0, 0, 1, 1]"
5,13,0.1265297130699224,0.5453527102172793,0.15553346490859984,69459460,6,"[0, 0, 0, 1, 0, 1]"
5,14,0.12505601812895586,0.5050741374537286,0.12185770797729492,69459460,5,"[0, 1, 1, 1, 1]"
5,15,0.11197907959587534,0.4690816957535311,0.11297026205062866,69459460,4,"[0, 1, 0, 1]"
5,16,0.11007845948442872,0.4763123437547454,0.1243062024116516,69459460,5,"[1, 0, 1, 1, 0]"
5,17,0.09028731261077813,0.48353070636088946,0.17854259252548219,69459460,7,"[0, 0, 1, 0, 0, 1, 1]"
5,18,0.07909417342860149,0.4005694517428276,0.1205477499961853,69459460,5,"[1, 1, 1, 0, 1]"
5,19,0.06383974556787327,0.3478896080152189,0.10445332956314086,69459460,4,"[1, 1, 1, 0]"
6,0,0.16899488502414758,0.5779871185316231,0.10666461038589478,69459460,4,"[1, 0, 1, 1]"
6,1,0.16155531444543275,0.5595103818953323,0.10224318170547485,69459460,4,"[0, 1, 1, 1]"
6,2,0.16001809832872127,0.5851871852136338,0.12424162912368775,69459460,5,"[0, 1, 0, 0, 1]"
6,3,0.1539482710613803,0.5539468700050003,0.10850029468536376,69459460,4,"[1, 0, 1, 1]"
6,4,0.14544517139443086,0.5399463131158869,0.10974517297744751,69459460,4,"[0, 1, 1, 1]"
6,5,0.1429804742380905,0.5357906048772708,0.11010816383361817,69459460,4,"[0, 1, 1, 0]"
6,6,0.1399578793219204,0.5242439436462694,0.10518874406814575,69459460,4,"[1, 1, 1, 0]"
6,7,0.1378831633718975,0.5203064594477226,0.10515696763992309,69459460,4,"[1, 1, 1, 0]"
6,8,0.1353976570126705,0.5156789542468944,0.10522862148284912,69459460,4,"[0, 1, 1, 0]"
6,9,0.1349822929605656,0.5213023572326273,0.1107147388458252,69459460,4,"[1, 0, 1, 0]"
